,Entity Name,Latitude,Longitude
57,1517 NEW BANI GROCERY INC        ,40.787081,-73.950041
58,1532 AMSTERDAM FOOD CORP         ,40.819361,-73.951902
59,WEST 153 FOOD CENTER INC         ,40.827758,-73.938324
60,153 J AND J FOOD MARKET CORP     ,40.787681,-73.949252
61,1544 MADISON DELI CORP           ,40.792648,-73.95021
62,1544 ST NICHOLAS CANDY STORE CORP,40.853262,-73.93085
63,155TH STREET AUTO CENTER INC     ,40.833021,-73.945508
64,159 CANDY GROCERY CORP           ,40.833998,-73.94121
65,1600 MADISON AVENUE FOOD CORP    ,40.794622,-73.948771
66,1613 FOOD CORP                   ,40.85531,-73.929351
67,1621A EL TEPEYAC CORP            ,40.789817,-73.948055
68,1622 AMSTERDAM GROCERY CORP      ,40.821953,-73.950004
69,162 GOURMET DELI CORP            ,40.837231,-73.942705
70,NEW YORK DELI GROCERY INC        ,40.85593,-73.9289
72,1650 LOS VECINOS DELI INC        ,40.856604,-73.928409
73,165 DELI GROCERY CORP            ,40.838031,-73.938268
74,165 W GOURMET DELI CORP          ,40.838873,-73.939546
75,1662 NEWS INC                    ,40.777311,-73.949042
76,1663 CANDY STORE CORP            ,40.796628,-73.947297
77,1663 PARK AVE MINI MARKET CORP   ,40.799986,-73.942577
78,167 CANDY CORP                   ,40.839504,-73.937862
79,168 8TH AVE FOOD CORP            ,40.742519,-74.0005
80,168 FRUIT&VEGETABLE CORP         ,40.742117,-73.997084
81,16TH STREET DELI & GROCERY INC   ,40.73258,-73.981663
82,1705 DELI GROCERY INC            ,40.792792,-73.945874
83,172 DELI GROCERY CORP            ,40.843508,-73.937979
84,173 JR GROCERY INC               ,40.844648,-73.938719
85,175 PRESBYTERIAN DELI CORP       ,40.845988,-73.93617
86,1802 AMSTERDAM 99 CENT CORP      ,40.827949,-73.945621
87,WILLIAMSON PR LLC                ,40.717253,-74.009796
88,181 GERMAN DELI INC              ,40.851106,-73.938983
89,1836 AMSTERDAM MINIMARKET CORP   ,40.828972,-73.944883
90,183 CHRISTOPHER STREET MARKET LLC,40.729817,-74.01048
91,1842 7TH AVE DELICATESSEN CORP   ,40.800534,-73.9546
92,186 GROCERY CORP                 ,40.851877,-73.930288
93,186 GROCERY II CORP              ,40.824677,-73.948016
94,ABDO FADAH A                     ,40.799151,-73.941238
95,1886 PARK AVE FOOD CORP          ,40.807271,-73.937599
96,188TH FOOD CORP                  ,40.85554,-73.930802
97,1910 DELI GROCERY CORP           ,40.800119,-73.94053
98,1932 GROCERY DELI INC            ,40.791947,-73.94441
99,1944 FIRST AVENUE DELI CO LLC    ,40.785751,-73.942889
100,194 MANHATTAN DELI INC           ,40.800084,-73.960426
101,196 STO DOMINGO GROCERY INC      ,40.844772,-73.935245
102,1978 FIRST AVE NEWS STAND CORP   ,40.787691,-73.941484
103,1983 GOURMET DELI CORP           ,40.833661,-73.941454
104,19 AVENUE D CORP                 ,40.722101,-73.983374
105,$1 DEPOT INC                     ,40.810859,-73.952801
106,OMSAI UPPER EASTSIDE GROCERY INC ,40.77157,-73.956333
107,JW&SONS INC                      ,40.77157,-73.956333
108,1 GAUDALUPE VICTORIA INC         ,40.851348,-73.932251
109,1ST & 96TH MANAGEMENT INC        ,40.782962,-73.94493
110,1ST AVE GOURMET DELI LLC         ,40.779556,-73.947399
111,2002 BROTHER DELI GROCERY NY CORP,40.834188,-73.941292
112,2009 BAMKP CORP                  ,40.847353,-73.935179
113,200 CANDY CORP                   ,40.864913,-73.926876
114,200 W 14TH STREET GOURMET INC    ,40.738664,-73.999938
115,2021 LEX DELI GROCERY INC        ,40.802885,-73.938506
116,2029 DISCOUNT INC                ,40.788732,-73.940716
117,ALI H RIAD                       ,40.788827,-73.940646
118,2034 BEST GOURMET DELI INC       ,40.79527,-73.941972
119,2037 MEAT&GROCERY INC            ,40.789786,-73.943042
120,2038 AMSTERDAM GROCERY & TOBACCO ,40.835462,-73.94014
121,207 INC I                        ,40.867611,-73.921469
122,PADILLA ALTAGRACIA               ,40.808176,-73.948809
123,TROPICAL SUPERMARKET CORP        ,40.86549,-73.919806
124,2082 MADISON FOOD CORP           ,40.809623,-73.937812
125,208 RIVINGTON INC                ,40.718419,-73.98291
126,20 EAST STAR DELI GROCERY CORP   ,40.810389,-73.937907
127,212 GRAND FOOD CORP              ,40.718926,-73.996131
128,2142 A J FOOD CORP               ,40.810357,-73.939376
129,2154 3 SISTERS GROCERY DELI INC  ,40.804659,-73.955196
130,215 FANTASTIC DELI CORP          ,40.803655,-73.953552
131,WEST 21 DELI AND GROCERY CORP    ,40.743884,-73.999509
132,216 SAL DELI & GROCERY CORP      ,40.729991,-73.980668
134,MORONTA JOSE R DURAN             ,40.840417,-73.936521
135,21 BERRY DELI INC                ,40.739867,-73.989581
136,222 MARKET CORP                  ,40.737516,-73.981162
137,2234 EAST SIDE DELI INC          ,40.795202,-73.936014
138,2258 FOOD CORP                   ,40.802244,-73.936875
139,2278 DELI & GROCERY INC          ,40.81457,-73.944345
140,22 CHELSEA FARM LLC              ,40.744508,-73.99906
141,2313 LA BODEGUITA INC            ,40.798657,-73.936569
142,2320 DELI GROCERY&PIZZA CORP     ,40.816135,-73.943198
143,JNH PRODUCE INC                  ,40.776593,-73.979385
144,J&B COLUMBUS PRODUCE CORP        ,40.776593,-73.979385
145,239 DELI CORP                    ,40.744784,-73.99886
146,23 DELI LLC                      ,40.747566,-74.003882
147,2505 HARLEM GOURMET DELI CORP    ,40.821865,-73.938793
148,251 DELI DELI LLC                ,40.728921,-74.002596
149,251 LA BODEGUITA GROCERY CORP    ,40.799138,-73.936835
150,2536 DELI GROCERY INC            ,40.816716,-73.946403
151,YESOL MARKET INC                 ,40.747171,-73.979146
153,2 FIVE STAR CANDY & GROCERY INC  ,40.844618,-73.93717
154,26 TOBACCO SHOP CORP             ,40.721414,-73.980783
155,2732 CONVENIENCE GROCERY CORP    ,40.800194,-73.967941
156,27 BROADWAY DELI INC             ,40.744597,-73.988869
157,27 DELI NC                       ,40.741928,-73.982997
158,2806 A&J DELI&GROCERY INC        ,40.825617,-73.939898
159,2829 PALACE FOOD INC             ,40.826449,-73.93929
160,282 AMERICAN DELI CORP           ,40.807202,-73.945794
161,2922 DELI FOOD INC               ,40.828879,-73.937509
162,2ND AVE CNDY CNVNIENCE STORE INC ,40.79991,-73.935653
163,MELON 940 FARM INC               ,40.754867,-73.96852
164,2ND AVE FRESH FOOD CORNER INC    ,40.766754,-73.959856
165,2ND AVENUE DELI GROCERY CORP     ,40.800645,-73.93511
166,301 SOHO CLEANERS INC            ,40.724781,-73.993317
167,301 WEST SIDE CORP               ,40.780033,-73.980594
168,315 FINEST FOOD AND DELI CORP    ,40.795626,-73.932754
169,325 DREAMLAND INC                ,40.735349,-73.982761
170,327 GOURMET DELI CORP            ,40.734331,-73.980377
171,345 PARK NEWS INC                ,40.758071,-73.973178
172,3484 BROADWAY MINI MARKET INC    ,40.824674,-73.951606
173,34 MIDTOWN DELI INC              ,40.744298,-73.974732
174,360 DELI CORP                    ,40.801161,-73.959856
175,3620 FINEST DELI CORP            ,40.829046,-73.948405
176,3635 SILVER SADDLE DELI GROCERY I,40.829402,-73.948413
177,369 FARMS MARKET INC             ,40.734063,-73.998706
178,370 GOURMET DELI CORP            ,40.810176,-73.943637
179,380 AUDUBON HTS DELI GRC CORP    ,40.850614,-73.930973
180,3867 INC                         ,40.864258,-73.919137
181,3868 TS GROCERY INC              ,40.837018,-73.942595
182,3875 MH DELI GROCERY INC         ,40.837109,-73.942791
183,393 TRIBECA FINEST DELI CORP     ,40.721703,-74.005119
184,GLAMOUR ENTERPRISES INC          ,40.749635,-73.977373
185,3RD AVE FOOD CORP I              ,40.739728,-73.982496
186,3RD AVE GOURMET DELI INC         ,40.797388,-73.940435
187,3RD AVE QUICK STOP INC           ,40.741888,-73.980918
188,3RD ST MINI MARKET CORP          ,40.722219,-73.983286
189,3 STAR DELI GROCERY INC          ,40.836615,-73.940073
190,PEACEFUL DELI&GROCERY NY CORP    ,40.772497,-73.949619
191,437 MANHATTAN DELI CORP          ,40.806557,-73.95572
192,43RD DELI CORP THE               ,40.760502,-73.994848
193,453 HARLEM DELI CORP             ,40.81275,-73.955768
194,J&M DELI CORP                    ,40.751657,-73.970873
195,467 STAR DELI INC                ,40.813118,-73.956099
196,477 FOOD CORP                    ,40.813379,-73.941495
197,47 DIVISION STREET TRADING INC   ,40.714205,-73.995252
198,47 PITT GROCERY INC              ,40.717311,-73.982991
200,4 BROTHERS FOOD MARKET & DELI INC,40.824981,-73.947795
201,4M CANDY STORE INC               ,40.798226,-73.939821
202,GOOD HARVEST COOPERATIVE INC     ,40.726734,-73.990717
203,501 DELI CORP                    ,40.813657,-73.956575
204,501 GROCERY CORP                 ,40.817747,-73.953539
205,514 HUDSON GROCERY & DELI CORP   ,40.733586,-74.006305
206,515 DELI CORP                    ,40.741418,-73.978317
207,51 EAST BROADWAY MARKET INC      ,40.7136,-73.995653
208,527 CONVENIENCE STORE INC        ,40.815006,-73.940284
209,528 EAST ELEVEN DELI CORP        ,40.727859,-73.980413
210,CHIANG RAY                       ,40.755928,-73.967117
211,545 KIPS BAY FOOD CORP           ,40.742423,-73.977602
212,55 FULTON MARKET CORP            ,40.708419,-74.004808
213,561 STRAIGHT DELI GROCER INC     ,40.816492,-73.939211
214,579 BREAD & BUTTER MARKET CORP   ,40.762597,-73.949363
215,57 BAYARD MEAT MARKET INC        ,40.715369,-73.997748
216,"57 CLINTON DELI, INC             ",40.719558,-73.984816
217,57 GROCERY CORP                  ,40.717669,-73.982795
218,57 MARKET INC                    ,40.767837,-73.9855
219,581 A & M FOOD CORP              ,40.866932,-73.920729
220,59 BAYARD MARKET INC             ,40.715397,-73.997831
221,5TH AVE DOLLAR LLC               ,40.756289,-73.979639
222,ISMAIL NAGI A                    ,40.836605,-73.943148
223,602 WASHINGTON HEIGHTS DELI CORP ,40.848641,-73.934263
224,639 EXPRESS DELI FOOD CORP       ,40.818416,-73.937796
225,65 LENOX DELI CORP               ,40.800338,-73.951002
226,682 11TH AVE FOOD CORP           ,40.765134,-73.995106
227,701 DELI INC                     ,40.820702,-73.936137
228,710 QUICK STOP INC               ,40.747491,-73.973904
229,719 BROTHERS FAMOUS DELI CORP    ,40.762762,-73.989467
230,HAPPY JT TRADING INC             ,40.771825,-73.963418
231,72 APPLE FARM GROCERY CORP       ,40.767071,-73.954254
232,GBY DELI GROCERY INC             ,40.767071,-73.954254
233,74 NAGLE DELI GROCERY INC        ,40.860323,-73.928217
234,752 TOBACCO CANDY INC            ,40.763927,-73.988608
235,76 GOURMET DELI INC              ,40.769995,-73.954399
236,76 MADISON GROCERY CORP          ,40.712115,-73.996729
237,77 AVE D GROCERY STORE CORP      ,40.72313,-73.97955
238,7955 AE COMPANY INC              ,40.715572,-73.998339
239,7 ELEVEN INC                     ,40.790814,-73.947329
240,SATSANG 3 INC                    ,40.718217,-73.986843
241,SATSANG 2 INC                    ,40.764358,-73.961614
242,7 ELEVEN INC                     ,40.794918,-73.97171
243,7-ELEVEN INC                     ,40.800274,-73.946733
244,SAKONG Y SEUNG                   ,40.776418,-73.95572
245,RUCHIKA ENTERPRISES INC          ,40.774701,-73.94803
246,R&A FOOD INC                     ,40.758024,-73.991689
247,KIM DONG JOO                     ,40.737158,-73.984374
248,710 FRANKLIN AVE CORP            ,40.737173,-73.979195
249,7 ELEVEN INC                     ,40.769424,-73.954816
250,171 MADISON AVENUE RETAIL INC    ,40.747271,-73.983316
251,5TH AVENUE WALI INC              ,40.743731,-73.987994
252,351 BOWERY STREET INC            ,40.726574,-73.991648
253,GAZAL INC                        ,40.784244,-73.947087
254,NDL FOOD INC                     ,40.718178,-74.000746
255,AHMAD ASAD SYED AHMAD SALMA      ,40.760646,-73.997855
256,ISHANI CONVENIENCE INC           ,40.788591,-73.970637
257,7 ELEVEN INC                     ,40.788591,-73.970637
258,MASSOLA MANAGEMENT 368 CORP      ,40.748759,-73.995946
259,302 CHELSEA FOODS INC            ,40.746712,-73.997438
260,NAPOLITANO SAL                   ,40.732605,-73.985561
261,ASHANI ENTERPRISE INC            ,40.762443,-73.959906
262,JASAA GROUP INC                  ,40.777681,-73.948773
263,7 ELEVEN INC                     ,40.777681,-73.948773
264,UNION SQUARE MARKET CORP         ,40.732947,-73.991184
265,DM CHAUDHARI LLC                 ,40.715479,-74.005215
266,182 5TH AVE RETAIL CORP          ,40.741217,-73.989818
267,2567 BROADWAY INC                ,40.794918,-73.97171
268,243 W 34TH ST RETAIL CORP        ,40.751658,-73.992195
269,BADWAL CORP                      ,40.743036,-73.996403
270,MASSOLA MANAGEMENT 881 CORP      ,40.763985,-73.984877
271,7 ELEVEN INC                     ,40.707646,-74.005717
272,MEIR & COMPANY INC               ,40.72619,-73.9773
273,111 FULTON ST RETAIL CORP        ,40.709742,-74.00676
274,135 W 3RD ST RETAIL CORP         ,40.730833,-74.000944
275,7 ELEVEN INC                     ,40.716104,-73.987365
276,7 ELEVEN INC                     ,40.744877,-73.997489
277,7-ELEVEN INC                     ,40.847353,-73.935179
278,KYJW CORPORATION                 ,40.744776,-73.978808
279,7 ELEVEN INC                     ,40.796842,-73.937898
280,7 ELEVEN INC                     ,40.822675,-73.942048
281,7 ELEVEN INC                     ,40.804279,-73.955022
282,K & N STORES INC                 ,40.796215,-73.968794
283,PAUL SEVEN ELEVEN 2 INC          ,40.714473,-74.008331
284,MANAJ 103 BODHAN INC             ,40.737605,-73.997415
285,535 8TH AVENUE CORP              ,40.754025,-73.992137
286,SAMSUL SHIMMO RETAIL MANAGEMENT L,40.742032,-73.980812
287,GEN 2 ENTERPRISES INC            ,40.755207,-73.991284
288,SOLANKI JIMMY K                  ,40.739899,-73.985681
289,2256 SECOND AVENUE CONVENIENCE LL,40.796842,-73.937898
290,7TH AVENUE ARISTOCRATIC DELI INC ,40.744369,-73.996277
291,7TH AVE DELI GROCERY CORP        ,40.8192,-73.940756
292,7TH AVE HARLEM FOOD CORP         ,40.815107,-73.943724
293,7TH AVENUE GROCERY CORP          ,40.824852,-73.936848
294,7TH HEAVEN GOURMET DELI INC      ,40.821499,-73.939288
295,7TH ST VILLAGE FARM INC          ,40.726904,-73.985827
296,809 LEX GROCERY INC              ,40.764301,-73.966663
297,82 CORNER MARKET INC             ,40.774179,-73.951339
298,82ND STREET GROCERY INC          ,40.784983,-73.976985
299,840 ST NICHOLAS FOOD CORP        ,40.82882,-73.942199
300,844 DELI GROCERY INC             ,40.797414,-73.967923
301,844 GREEN DELI GROCERY INC       ,40.797414,-73.967923
302,84TH STR CORNER DELI CORP        ,40.776668,-73.952606
303,85 DELI MINI MARKET CORP         ,40.868828,-73.917749
304,87 ST DELI INC 1                 ,40.788472,-73.974444
305,87 ST DELI INC                   ,40.777378,-73.948994
306,886 G&G CORP                     ,40.769595,-73.988238
307,8TH AVE DELI GROCERY INC         ,40.822286,-73.942328
308,8TH AVENUE MINI MALL INC         ,40.816232,-73.946757
309,8TH AVENUE TOBACCO & MAGAZINE INC,40.750386,-73.998479
310,900 PARKSIDE GOURMET INC         ,40.79805,-73.963744
311,901 COLUMBUS DELI CORP           ,40.798062,-73.963735
312,91 CATHERINE GROCERY CORP        ,40.823238,-73.950316
313,94 ST NICHOLAS DELI INC          ,40.829961,-73.940362
314,967 1ST AVENUE NEWS CORP         ,40.75583,-73.96474
315,96 DELI CORP                     ,40.794347,-73.971062
316,97 TOBACCO SHOP INC              ,40.795477,-73.971056
317,99 CENTS CLASS INC               ,40.858452,-73.931728
318,LUCKY DOLLAR INC                 ,40.836006,-73.939746
319,99 CENT MINI DEPOT INC           ,40.821207,-73.939272
320,1967 99 CENTS & DISCOUNT INC     ,40.833144,-73.941833
321,AI&M DISCOUNT INC                ,40.808479,-73.94879
322,DOLLAR MAGIC LLC                 ,40.803914,-73.937761
323,BIG EMPIRE INC                   ,40.798714,-73.963253
324,NYC LUCKY DISCOUNT INC           ,40.820718,-73.936898
325,DYCKMAN DEALS INC                ,40.86209,-73.92507
326,99 CENT WORLD & VARIETY CORP     ,40.849705,-73.936196
327,GOHAR ALI                        ,40.791681,-73.944601
328,9 ONE 4 LLC                      ,40.78117,-73.94933
329,9TH AVE GOURMET DELI INC         ,40.764483,-73.988206
330,S MARKET AND GROCERY INC         ,40.750925,-73.998106
331,9TH AVENUE ROYAL DELI INC        ,40.766111,-73.987031
332,NASSER MUSLEH                    ,40.761379,-73.990493
333,A&A DELI GROCERY INC             ,40.743281,-73.996222
334,ABC MART NC                      ,40.825393,-73.951326
335,ABDOU KINGS DELI INC             ,40.812614,-73.949384
336,ABDUR SAMI DELI GRO&HALAL MT INC ,40.797157,-73.937664
337,A&B GOURMET DELI INC             ,40.787894,-73.944447
338,ABHI & FATHER INC                ,40.740327,-73.984128
339,ONE ABINGDON SQUARE ENTERP INC   ,40.736899,-74.005532
340,A & B NEW DELI GROCERY CORP      ,40.849166,-73.932025
341,ABYSSINIA GROCERY INC            ,40.802509,-73.952597
342,ACAPULCO DELI GROCERY & TACOS COR,40.86501,-73.926938
343,A & C DELI AND GROCERY LLC       ,40.802871,-73.931751
344,ONE EAST ACE DELI CORP           ,40.744435,-73.986719
345,ASIANA MANAGEMENT GROUP INC      ,40.742798,-73.977038
346,ASIANA MANAGEMENT GROUP INC      ,40.819402,-73.959377
347,ASIANA MANAGEMENT GROUP INC      ,40.78064,-73.981535
348,ASIANA MANAGEMENT GROUP INC      ,40.744324,-73.991763
349,ASIANA MANAGEMENT GROUP INC      ,40.778101,-73.952267
350,ADAM 1 FOOD CENTER INC           ,40.820813,-73.943404
351,ADAM 99 CENTS & UP INC           ,40.765714,-73.991037
352,ADAMS DELI & CONVENIENCE INC     ,40.730938,-73.981611
353,197 8TH AVE DELI CORP            ,40.74357,-73.999745
354,ADEN EXPRESS DELI INC            ,40.827653,-73.949689
355,ADJA KHADY FOOD DISTRIBUTORS INC ,40.804141,-73.954699
356,ADNADER INC                      ,40.80755,-73.952906
357,ROCHELL ZABARKES                 ,40.717251,-73.990872
358,AF AFRICAN MARKET & HALAL MEAT IN,40.82218,-73.940354
359,ADVANCED FRESH CONCEPTS FRANCHISE,40.754007,-73.98697
360,ADVANCED FRESH CONCEPTS FRANCHISE,40.762501,-73.983358
362,ADVANCED FRESH CONCEPTS FRANCHISE,40.706688,-74.010004
363,ADVANCED FRESH CONCEPTS FRANCHISE,40.733569,-73.989848
364,AL SAIDI FUAD H                  ,40.834934,-73.944398
365,AFRICAN AND CARIBBEAN MARKET INC ,40.824073,-73.944843
366,A & F TOBACCO & GROCERY INC      ,40.730083,-74.010453
367,ACITREZZA LLC                    ,40.732955,-73.993603
368,JAV FOOD CORP                    ,40.772076,-73.952881
369,AGUA AZUL DELI GROCERY CORP      ,40.862813,-73.928094
370,A&H CANDY SHOP CORP              ,40.798978,-73.952003
371,KALAZ HASSAN & SALEH JABER       ,40.739815,-73.998765
372,AJ FOOD CENTER INC               ,40.810202,-73.93949
373,CJS WHOLESALERS                  ,40.751981,-73.988981
374,ALAN FARMLAND LTD                ,40.770073,-73.984148
375,YORK&GEORGY INC                  ,40.742977,-74.003892
376,A.L. BROADWAY GROCERY CORP       ,40.83383,-73.94493
377,ALDI INC                         ,40.795426,-73.931932
378,ALDI FOOD CENTER CORP            ,40.837648,-73.938551
379,ALEGRIA DELI GROCERY INC.        ,40.860779,-73.926976
380,ALEXANDER'S 145 DELI CORP        ,40.826173,-73.94984
382,ALGANAD INC                      ,40.72105,-73.988735
383,ALI 2023 DELI & GROCERY LLC      ,40.806573,-73.949977
384,ALI BABA ORGANIC INC             ,40.713805,-73.998669
385,ALKUTEENI YOSEF                  ,40.85808,-73.93193
386,ALLEGRO COFFEE COMPANY           ,40.723787,-73.991724
387,ALLEVA DAIRY INC                 ,40.719289,-73.997203
388,ALL FRESH GROCERY & DELI CORP    ,40.790043,-73.941059
389,ALPHABET GOURMET DELI CORP       ,40.722279,-73.980149
390,ALPHA DELI 1 INC                 ,40.812321,-73.942256
391,ALPHAYA 99 CENT STORE PLUS CORP  ,40.815283,-73.954876
392,ALPINE GROUP USA INC             ,40.801726,-73.959245
393,MERCEDES HOUSE MARKET CORP       ,40.768014,-73.991931
394,ALZYADI DELI CORP                ,40.81148,-73.946387
395,A MATTER OF HEALTH INC           ,40.770866,-73.953756
396,A MATTER OF HEALTH NYC INC       ,40.768013,-73.955852
397,AMEER FOOD CORP                  ,40.825565,-73.943651
398,AMERICAN DISCOUNT INC            ,40.836101,-73.939675
399,AMERICAS FINEST DELI CORP        ,40.70753,-74.013111
400,HASSAN ABDO M                    ,40.79861,-73.967056
401,AMIGO MINI MART INC              ,40.718577,-73.988009
402,AMISH MANHATTAN FARMERS MKT INC  ,40.763151,-73.989179
403,ERNST KLEIN 6TH AVE FOODS INC    ,40.713736,-74.010302
404,FRESH BAGELS FARMERS MARKET INC  ,40.751969,-73.971324
405,SYUKAKU INC                      ,40.751969,-73.971324
406,LEDESMA AMARILIS A               ,40.813563,-73.953115
407,9TH AVE DELI&GROCERY INC         ,40.75521,-73.994987
408,AM&PM DELI AND GROCERY CORP      ,40.712621,-73.990287
409,AMSTERDAM AVENUE EXPRESS SHOP INC,40.817083,-73.953568
410,AMSTERDAM FIVE STARS GROCERY CORP,40.832448,-73.941023
411,ZUNIGA LUIS ENRIQUE&SUQUINAGUA CA,40.824713,-73.94799
412,SUBABA LLC                       ,40.852247,-73.927876
413,GONZALEZ DEWEL                   ,40.792674,-73.94094
414,JUDE NY INC                      ,40.81219,-73.94969
415,ANB DELI INC                     ,40.743905,-74.003215
416,ANDREAS PROTEIN CAKERY INC       ,40.759961,-73.962794
417,ANDYS 418 COLUMBUS AVE DELI INC  ,40.78275,-73.974906
418,270 MARKET INC                   ,40.760111,-73.986776
419,C&N GROCERY STORE INC            ,40.779723,-73.980813
420,GNB DELI INC                     ,40.733274,-74.002984
421,ANGELES GROCERY CORP             ,40.798849,-73.943767
422,C&P FOOD CORP                    ,40.744596,-73.981026
423,A&N NEWS INC                     ,40.747669,-73.994385
424,ANNIES FRUIT&VEGETABLE STORE INC ,40.781209,-73.95431
425,ANS SEAFOOD CORP                 ,40.767496,-73.962232
426,KASOKA INTERNATIONAL PRODUCE INC ,40.844775,-73.937056
427,HOSSAIN ANWAR                    ,40.724207,-73.978762
428,APOLLO 2 DELI & GROCERY CORP     ,40.733341,-74.010151
429,APOLLO DELI & FRUIT CORP         ,40.810955,-73.950597
430,LAM SUPERMARKET CORP             ,40.809581,-73.959041
431,AQUA BEST INC                    ,40.717822,-73.992757
432,ARAMARK SERVICES INC             ,40.757256,-73.985793
433,ARCHIE GROCERY CORP              ,40.837364,-73.94007
434,MORALES OSBELIA                  ,40.793754,-73.943871
435,A&R NEWS&CANDY CORP              ,40.727448,-74.000797
436,ARPITA DELI & GROCERY INC        ,40.715631,-74.00741
437,ARRIS DELI GROCERY CORP          ,40.826424,-73.946738
438,ASA DELICATESSEN & GROCERY STORE ,40.814763,-73.95753
439,SHRIPADA CORP                    ,40.756311,-73.9935
441,ASEEL GROCERY CORP               ,40.867118,-73.917293
442,A&S FOOD MARKET II CORP          ,40.803833,-73.94826
443,ASIAN MARKET AT 3RD AVE          ,40.736101,-73.985129
444,ASIAN MARKET AT MULBERRY INC     ,40.716094,-73.999204
445,ASSARY GROCERY CORP              ,40.812236,-73.951289
446,GLENDA FOOD CORP                 ,40.854926,-73.936957
448,LENOX & 132ND FOOD CORP          ,40.812492,-73.941958
449,NUVE MIGUEL CORP                 ,40.794578,-73.969986
450,A&C SUPERMAS INC                 ,40.819925,-73.94043
451,FGWJ FOOD CORP                   ,40.731084,-73.98157
452,JKJ CORP                         ,40.794467,-73.963507
453,ASTORIA CHEESE INC               ,40.731429,-73.991702
454,ASUNAN INC                       ,40.791321,-73.946953
455,103RD ST 99 CENT CORP            ,40.79879,-73.968653
456,AVE D & 8TH ST DELI CORP         ,40.724333,-73.978668
457,AVENUE A CLASSIC FOODS INC       ,40.72624,-73.98339
458,AVENUE A DELI & FOOD INC         ,40.720798,-73.978137
459,AVENUE C FOOD CORP               ,40.726725,-73.976904
460,NAVARETTE MARIA                  ,40.799501,-73.93964
461,AZEEZ 2 DELI GROCERY CORP        ,40.83773,-73.942338
462,AZTECA FOOD COURT INC            ,40.798405,-73.941784
