,Unnamed: 0,Method of Operation,Premise Name,Premise Address,Premise City,lat,lon
26,143,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",123 WEST 39TH REST CORP,123 W 39TH ST AKA 1412 BROADWA,NEW YORK,40.753615,-73.9887499
27,152,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",NINTH AVENUE SALOON INC,627 9TH AVENUE,NEW YORK,40.759988,-73.9917263
28,154,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,G G P BAR & GRILL CORP,372 8TH AVENUE,NEW YORK,40.7487347,-73.9957119
29,158,"TAVERN SERVING BEER, WINE AND LIQUOR CIDER",DOWNTOWN DINING LLC,5 AVENUE A,NEW YORK,40.7225085,-73.9863406
30,168,"TAVERN RESTAURANT SERVNIG LIQUOR, WINE, BEER, & CIDER",EAST OF HARLEM LLC,271 W 119TH ST #2,NEW YORK,40.8061264,-73.9531736
31,172,TAVERN SERVING LIQUOR WINE CIDER AND BEER ,LEXINGTON BAR & BOOKS LTD,1020 LEXINGTON AVE,NEW YORK,40.7710341,-73.9619458
32,181,TAVERN SERVING LIQUOR WINE AND BEER CIDER,VARIETY ENTERTAINMENT GROUP LLC,189 CHRYSTIE STREET,NEW YORK,40.7218957,-73.9922775
33,185,CLUB TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"YALE CLUB OF NEW YORK CITY,THE",50 VANDERBILT AVE,NEW YORK,40.7309431,-73.70424953
34,196,"CABARET SERVING LIQUOR, WINE, BEER & CIDER",FACILITY CONCESSION SERVICES INC,119 125 E 11TH ST,NEW YORK,40.73190643,-73.98977647
35,218,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",GERASIMOS ENTERPRISES INC,25 CEDAR ST,NEW YORK,40.7071162,-74.0081489
36,226,TAVERN SERVING LIQUOR WINE AND BEER CIDER,BRANDY LIBRARY LOUNGE LLC,25 NORTH MOORE STREET 1A,NEW YORK,40.7199641,-74.0158606
37,233,CLUB TAVERN SERVING BEER WINE CIDER AND LIQUOR,"COSMOPOLITAN CLUB,THE",122 E 66TH ST & 129 E 65TH ST,NEW YORK,40.7657968,-73.967532
38,238,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,220 W 45TH STREET,NEW YORK,40.65151237,-74.0135522
39,239,TAVERN SERVING WINE CIDER & BEER,"NEW 42ND STREET INC, THE",229 W 42ND ST,NEW YORK,40.7567434,-73.9881858
40,252,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,1412 BROADWAY ROOFTOP LLC,1412 BROADWAY,NEW YORK,40.7537208,-73.9868526
41,253,"BAR SERVING LIQUOR, WINE, BEER & CIDER","GREEN BROOKLYN LLC, THE",252 W 14TH ST,NEW YORK,40.73932685,-74.0022532
42,255,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,HORSHOES INC,611 9TH  AVENUE,NEW YORK,40.7593932,-73.9921445
43,261,"BAR/TAVERN SERVING BEER, WINE AND CIDER",HOTEL TORTUGA INC,246 E 14TH ST,NEW YORK,40.7323792,-73.9854277
44,263,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,LIHOU LLC,964 966 LEXINGTON AVE,NEW YORK,40.6657932,-73.56483498
45,270,"BAR/TAVERN SERVING WINE, BEER & CIDER",GOOSE BARNACLE LLC,91 ATLANTIC AVE,BROOKLYN,40.6911912,-73.9971973
46,278,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",1862 HOSPITALITY LLC,503 505 E 12TH ST,NEW YORK,40.72908045,-73.98108931
47,279,"TAVERN SERVING BEER, WINE, & CIDER",ALIDORO II LLC,260 MADISON AVE,NEW YORK,40.750754,-73.98124274
48,281,NIGHTCLUB - RESTAURANT SELLING ON PREMISE ALCOHOL SECOND AND THIRD FLOOR,760 8TH AVE REST INC,760 766 8TH AVE AKA 268 W 47,NEW YORK,40.7601014,-73.9962124
49,288,"BAR/TAVERN SERVING BEER, CIDER  WINE AND LIQUOR",126 HAMILTON PLACE LLC,500 W 143RD ST,NEW YORK,40.8241325,-73.9492614
50,290,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",NEW YORK CHAPTER OF THE AMERICAN,534 LAGUARDIA PLACE,NEW YORK,40.72878035,-73.99866363
51,291,"BAR/TAVERN SERVING WINE, BEER AND CIDER     ",CHIN & SUE INC,310 E 44TH ST,NEW YORK,40.7505545,-73.9702839
52,292,TAVERN SERVING BEER CIDER LIQUOR & WINE ,322 E 14TH STREET CORP,322 E 14TH ST,NEW YORK,40.7318045,-73.9840953
53,297,TAVERN RESTAURANT SERVING CIDER BEER WINE & LIQUOR,PMC CORP,354 3RD AVENUE,NEW YORK,40.7407065,-73.9820094
54,301,"BAR/TAVERN WITH ADULT ENTERTAINMENT SERVING LIQUOR, WINE, BEER AND CIDER",689 EATERY CORP,689 8TH AVE,NEW YORK,40.7582838,-73.9893037
55,302,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",75 ST MARKS PLACE LLC,75 ST MARKS PL,NEW YORK,40.681798,-73.9796215
56,313,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",TWO BIG BOYS INC,405 WEST 51ST STREET,NEW YORK,40.7643912,-73.9888626
57,319,"SUMMER TAVERN SELLING BEER, WINE AND CIDER",KONKAPOT ENTERTAINMENT INC,60 CHELSEA PIERS,NEW YORK,40.7469115,-74.0082455
58,320,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",BG BAR INC,113 LUDLOW ST,NEW YORK,40.7194846,-73.9888709
59,326,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,RBSB LLC,185 CHRISTOPHER ST,NEW YORK,40.7326269,-74.0097228
60,338,CLUB TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,HARMONIE CLUB OF THE CITY OF NEW YORK,4 E 60TH STREET,NEW YORK,40.71921794,-73.9066998
61,363,"INDOOR GOLF/BAR SERVING LIQUOR, WINE BEER AND CIDER     ","RANGE NYC LLC, THE",22 STONE STREET,NEW YORK,40.704131,-74.010511
62,365,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER & BEER,SUSHI VIDA INC,237 DYCKMAN ST,NEW YORK,40.8661804,-73.9277496
63,371,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",57 GRAND STREET CAFE CORP,57 GRAND STREET,NEW YORK,40.7160305,-73.965091
64,376,TAVERN SERVING LIQUOR WINE AND BEER CIDER,ROB TESS RESTAURANT CORP,302 E 92ND STREET,NEW YORK,40.7814029,-73.9485796
65,383,TAVERN SERVING BEER WINE CIDER AND LIQUOR,TWO GUYS AND TOM INC,348 W 52ND ST,NEW YORK,40.7641324,-73.9868698
66,388,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER","RIVER CLUB OF NEW YORK INC,THE",447 E 52ND STREET,NEW YORK,40.64476904,-74.01260682
67,393,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",CARA FOODS LLC,389 5TH AVE AKA 1 E 36TH ST,NEW YORK,40.7498058,-73.9920857
68,397,TAVERN SERVING LIQUOR WINE CIDER AND BEER,SHO RIKI INC,"141 E 45TH ST BSMNT, FL 1",NEW YORK,40.7532369,-73.973897
69,400,TAVERN SERVING BEER WINE CIDER AND LIQUOR,SPT CORP,538 E 14TH STREET,NEW YORK,40.7294965,-73.9786591
70,403,TAVERN SERVING BEER WINE AND LIQUOR CIDER,STERLING PARKSIDE CORP,317 E HOUSTON STREET,NEW YORK,40.7210809,-73.9832025
71,404,"TAVERN WITHIN A KIOSK/FOOD TRUCK SERVING WINE, BEER AND CIDER",VERY FRESH NOODLES LLC,425 W 15TH ST,NEW YORK,40.7424693,-74.0065847
72,408,CLUB SERVING BEER WINE AND LIQUOR CIDER,WOMENS NATIONAL REPUBLICAN CLUB INC,3 W 51ST STREET,NEW YORK,40.759542,-73.977345
73,411,"TAVERN SERVING WINE, BEER, & CIDER",HEIDI'S HOUSE LLC  ,308 E 78TH STREET,NEW YORK,40.7722806,-73.9549444
74,417,"TAVERN SERVING BEER, WINE & CIDER",LUDLOW COFFEE SUPPLY LLC,176 LUDLOW ST,NEW YORK,40.7216695,-73.9873956
75,422,TAVERN SERVING BEER WINE CIDER AND LIQUOR,APOTHEKE LLC,9 DOYERS STREET,NEW YORK,40.7143151,-73.99822848
76,430,TAVERN RESTAURANT SERVING BEER CIDER LIQUOR & WINE ,CHIK ASSOCIATES LLC,135 W 26TH STREET,NEW YORK,40.74530939,-73.99239582
77,432,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",J HOWARD REST INC,375 W 125TH STREET,NEW YORK,40.81137395,-73.95342855
78,439,"HOTEL TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",IROQUOIS HOTEL LLC,49 W 44TH STREET,NEW YORK,40.7558514,-73.98193411
79,442,"HOTEL TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",SURREY HOTEL ASSO LLC/SERAFINA BWAY 55TH LOUNGE,210 W 55TH ST  (ENTIRE BLDG),NEW YORK,40.7644231,-73.9819603
80,446,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,SNS BAR LLC,63 GANSEVOORT ST,NEW YORK,40.7396278,-74.00735457
81,448,"BAR/TAVERN SERVING BEER, WINE, CIDER, & LIQUOR",RHI EQUITY LLC & ET AL 150710 LLC,191 CHRYSTIE ST,NEW YORK,40.72199735,-73.9922738
82,453,CLUB TAVERN SERVING BEER WINE AND LIQUOR CIDER,"LIEDERKRANZ OF THE CITY OF,THE NEW YORK INC",6 EAST 87TH STREET,NEW YORK,40.7817264,-73.95935275
83,456,CLUB SERVING BEER WINE CIDER AND LIQUOR,SOHO-LUDLOW INC,139 LUDLOW ST,NEW YORK,40.7205338,-73.98838846
84,469,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",BROADWAY REGENCY RESTAURANT LLC & STRATEGIC DREAM ,210 W 55TH STREET,NEW YORK,40.7643557,-73.9817987
85,470,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,1702 RATHBONES INC,1702 2ND AVENUE,NEW YORK,40.77922365,-73.95038726
86,472,"BAR TAVERN SERVING BEER, WINE, & CIDER",LEFKAS HOSPITALITY LLC,139 E 12TH ST,NEW YORK,40.67008748,-73.99322744
87,475,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",PARALLEL BAR INC,133 AVE C,NEW YORK,40.7250299,-73.97846825
88,480,BAR/TAVERN LIQUOR WINE BEER CIDER,RBC BAR INC,77 WORTH ST,NEW YORK,40.716937,-74.0056985
89,481,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",MEATH TRAILS INC,61 2ND AVENUE,NEW YORK,40.72602955,-73.98990717
90,487,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",RUBY SLIPPERS HOSPITALITY CORP,135 W 18TH ST,NEW YORK,40.7406459,-73.9963523
91,489,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,IRISH TOWN INC,43 WEST 54TH STREET,NEW YORK,40.7620862,-73.9775771
92,492,VESSEL TAVERN SERVING BEER WINE CIDER AND LIQUOR,CLASSIC HARBOR LINE LLC,CHELSEA PIER 23RD ST & HUDSON,NEW YORK,40.7274776,-73.997627
93,497,"TAVERN RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",MESON SEVILLA LTD,344 WEST 46TH ST,NEW YORK,40.7603249,-73.98965691
94,499,CLUB SERVING  BEER CIDER LIQUOR & WINE ,69TH INFANTRY OFFICERS CLUB INC,68 LEXINGTON AVENUE,NEW YORK,40.74133785,-73.98423151
95,507,TAVERN/BAR SERVING BEER CIDER WINE & LIQUOR,CORMAR INCORPORATED,507 E 5TH ST,NEW YORK,40.7247462,-73.9838567
96,509,"BAR/TAVERN SERVING BEER, WINE, & CIDER",VILLAS LOUNGE 2 CORP,130 132 AUDUBON AVE,NEW YORK ,40.842737,-73.936844
97,517,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",GARDEN CAFE ASSOC LP SULCATA CORP GP & 3LPS,40 EAST 4TH ST,NEW YORK,40.727192,-73.9920048
98,523,"BAR/TAVERN SERVING WINE, BEER AND CIDER",V&J 37 VENTURES LLC,477 10TH AVE,NEW YORK,40.7563718,-73.9980687
99,526,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,DAV TSI DAV INC,149 BLEECKER STREET 2FL,NEW YORK,40.7284039,-73.9992845
100,531,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,247 WEST 37TH STREET LLC,247 WEST 37TH ST   WEST STORE,NEW YORK,40.7540233,-73.9913332
101,535,CLUB SERVING BEER WINE AND LIQUOR CIDER,TIRO A SEGNO OF N Y INC,73 75 77 MAC DOUGAL ST,NEW YORK,43.09379131,-70.72747887
102,547,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CLUB MACANUDO INC,26 E 63RD STREET,NEW YORK,40.7659114,-73.9694092
103,549,TAVERN SERVING LIQUOR WINE CIDER AND BEER,DOUBLE DOWN NYC LLC,14 AVENUE A,NEW YORK,40.7225685,-73.9858462
104,556,"RESTAURANT/BAR SERVING BEER, WINE, LIQUOR, & CIDER",SAIGON MARKET LLC,91 93 UNIVERSITY PLACE,NEW YORK,40.7336092,-73.9929312
105,563,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",CARANDA EMPORIUM LLC,22 E 125TH ST,NEW YORK,40.8057789,-73.94130385
106,565,KARAOKE BAR SERVING LIQUOR BEER CIDER AND WINE,EIGHTH AVENUE H & Y DUET INC,"900 8TH AVE, BASEMENT",NEW YORK,40.7641392,-73.9843221
107,569,"TAVERN SERVING WINE, BEER AND CIDER",TKK NEW YORK LLC,115 E 23RD ST,NEW YORK,40.66303114,-73.99906656
108,572,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER & BEER,HOT CORNER VENTURES CORP,558 HUDSON ST AKA 101 PERRY ST,NEW YORK,40.7353471,-74.0057309
109,583,"TAVERN/ CAFE SERVING WINE, BEER AND CIDER",JOEY BATS CAFE NYC LLC,129 ALLEN ST,NEW YORK,40.7200481,-73.9902485
110,592,"BAR SERVING LIQUOR, WINE, BEER AND CIDER     ",ETHOS LABS LLC,446 W 14TH ST,NEW YORK,40.74159435,-74.00757241
111,600,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,RESTAURANT SERVICES I LLC & LINCOLN CENTER FOR THE,155 W 62ND ST,NEW YORK,40.77182403,-73.98488184
112,607,TAVERN SERVING BEER WINE AND LIQUOR CIDER,JOHN PHIL TAVERN CORP,350 E 53RD STREET,NEW YORK,40.7558058,-73.9651553
113,612,TAVERN SERVING BEER WINE CIDER AND LIQUOR,106 AMSTERDAM REST CORP,HUDSON BEACH W 105TH PARK,NEW YORK ,40.8025885,-73.9719299
114,613,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER","WATERING HOLE OF 2ND AVE CORP,THE",68 2ND AVENUE,NEW YORK,40.93847925,-73.04872031
115,629,"TAVERN/BAR SERVING BEER, WINE, & CIDER",BAR SUZETTE LLC ,425 W 15TH ST,NEW YORK ,40.7424693,-74.0065847
116,638,"TAVERN SERVING BEER, WINE & CIDER",1412 K BROADWAY CAFE INC,1412 BROADWAY,NEW YORK,40.7537208,-73.9868526
117,640,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",82ND STREET CAFE INC,1453 57 3RD AVE,NEW YORK,40.7289366,-73.9903713
118,647,"BAR/TAVERN SERVING WINE , BEER AND CIDER",GVI RIVERSIDE LLC,100 RIVERSIDE BLVD,NEW YORK,40.7757422,-73.9897532
119,651,BAR TAVERN SERVING BEER WINE AND LIQUOR,JAPP DRINK CORP,704 W 177TH ST,NEW YORK,40.8475311,-73.9384174
120,653,"CLUB - TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","ASSOCIATION OF THE BAR,THE",42 W 44TH STREET,NEW YORK,40.7555187,-73.9819926
121,665,TAVERN SERVING BEER WINE CIDER AND LIQUOR,683 NINTH AVENUE INC,683 NINTH AVE AKA 401 W 47TH,NEW YORK,40.7618787,-73.9905289
122,672,"SUMMER TAVERN SERVING WINE, BEER AND CIDER",PIER 84 CHIP SHOP LLC,557 12TH AVE,NEW YORK,40.7630962,-74.00058424
123,673,"BAR/TAVERN WINE SERVING WINE, BEER AND CIDER",GOOD THANKS CAFE LLC,131 ORCHARD ST,NEW YORK,40.719721,-73.9895213
124,674,TAVERN SERVING LIQUOR WINE AND BEER CIDER,17TH STREET ENTERTAINMENT II LLC,453 W 17TH STREET,NEW YORK,40.744011,-74.006124
125,677,MEMBERS ONLY CLUB SERVING LIQUOR & CIDER,SPANISH BENEVOLENT SOCIETY INC ,239 W 14TH ST,NEW YORK,40.73945335,-74.00116804
126,679,"TAVERN WINE SERVING BEER, WINE AND CIDER","WRECKING CLUB LLC, THE",458 9TH AVE,NEW YORK,40.75429255,-73.99533445
127,684,OUTDOOR TAVERN SERVING BEER WINE CIDER AND LIQUOR,MASTERPIECE CATERERS CORP,55 WATER ST,NEW YORK,40.7032228,-74.009063
128,686,"TAVERN SERVING WINE, BEER, & CIDER ONLY",M & S MUSIC STUDIO INC,28 W 32ND ST 3RD FLR,NEW YORK,40.7476146,-73.9870841
129,687,TAVERN SERVING BEER WINE AND LIQUOR CIDER,ILURAS LLC & 358 W 44TH ST THEATER CO INC,358 W 44 ST 2ND FLOOR,NEW YORK,40.759426,-73.9913779
130,688,TAVERN SERVING BEER CIDER WINE AND LIQUOR,RIVINGTON CAFE CORP,123 RIVINGTON STREET,NEW YORK,40.7196464,-73.9873021
131,692,TAVERN SERVING BEER WINE AND LIQUOR,LINCOLN CTR PERFORMING ARTS & REST SERVICES I LLC,100 COLUMBUS AVENUE,NEW YORK,40.71743895,-73.3495746
132,694,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,FULL JEEP CORPORATION,145 BLEECKER STREET,NEW YORK,40.72834765,-73.99908143
133,695,"BAR/TAVERN SERVING WINE, BEER & CIDER",GREAT PERFORMANCES ARTISTS AS WAITRESSES INC,548 W 22ND ST,NEW YORK,40.74775965,-74.00700525
134,700,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",WHANY LLC,115 MACDOUGAL ST,NEW YORK ,40.67977045,-73.9173697
135,701,TAVERN SERVING BEER WINE CIDER AND LIQUOR,GBND ENTERPRISES INC,130 WEST 3RD STREET,NEW YORK,40.72276085,-73.29952703
136,703,"CLUB SERVING BEER, WINE CIDER & LIQUOR ",GOLF & BODY NYC LLC,883 6TH AVE,NEW YORK,40.7483213,-73.9891195
137,707,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",RPM UNDERGROUND LLC,244 W 54TH ST,NEW YORK,40.64619029,-74.01833037
138,709,"BAR/TAVERN SERVING BEER, WINE & CIDER",HIEB CORP,168 LUDLOW ST,NEW YORK,40.72139605,-73.98744429
139,710,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,LOCAL WEST LLC,ONE PENN PLAZA ,NEW YORK,40.75109885,-73.99197358
140,713,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THE WORLD BAR LLC,845 UNITED NATIONS PLAZA,NEW YORK,40.7525203,-73.96768871
141,718,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,WENTED REALTY CORP,59 W 46TH ST,NEW YORK,40.7549974,-73.9773242
142,729,TAVERN SERVING BEER CIDER WINE AND LIQUOR,THE SYMPHONY SPACE INC,2537 BROADWAY,NEW YORK,40.7939499,-73.9725626
143,738,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",WEST 20TH ENTERPRISES CORP,20 W 20TH STREET,NEW YORK,40.66538119,-73.998662
144,750,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,MESS HALL LLC,2194 8TH AVE,NEW YORK,42.73276749,-73.7074845
145,773,"TAVERN/RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",LM RESTAURANT GROUP LLC,120 E 15TH ST,NEW YORK,40.73446325,-73.98804666
146,779,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,INISHOWEN INC,287 3RD AVENUE,NEW YORK,40.7382853,-73.98331
147,781,"TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",LONGFORD INC,98 3RD AVE,NEW YORK,40.6831593,-73.9823361
148,782,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",530 2ND AVE WINE BAR CORP,530 2ND AVE,NEW YORK,40.7418537,-73.9777299
149,788,"TAVERN SERVING BEER, WINE AND CIDER",SHIGEMITSU NEW YORK INC,1374 3RD AVE,NEW YORK,40.7737711,-73.9578856
150,789,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",GRANGIO RESTAURANT CORPORATION,59 GROVE STREET,NEW YORK,40.7332046,-74.0033643
151,795,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,TTBEL HOLDINGS INC,2080 FREDERICK DOUGLASS BLVD,NEW YORK,40.8021357,-73.9567716
152,798,CLUB SERVING LIQUOR WINE BEER AND CIDER,WALL STREET OWNER INC,63 WALL ST,NEW YORK,40.7057836,-74.0086585
153,800,TAVERN/BAR SERVING BEER WINE CIDER AND LIQUOR,MEZZROW LLC,163 W 10TH ST,NEW YORK,40.7344937,-74.0019035
154,802,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BUA NEW YORK LLC,122 SAINT MARKS PLACE,NEW YORK,40.6810288,-73.97833245
155,806,"BAR/TAVERN SERVING BEER, CIDER, WINE & LIQUOR",PARK STONE VENTURE LTD ,47 EAST 29TH ST,NEW YORK,40.7442428,-73.9839881
156,807,"CLUB TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","ROCKEFELLER UNIVERSITY,THE",1230 52 YORK AVE,NEW YORK,40.761199,-73.9578851
157,809,"BAR/ TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",DOUBLE D 36TH STREET LLC,385 5TH AVE,NEW YORK,40.7495428,-73.9835108
158,811,"RESTAURANT BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",168 ORCHARD ST PARTNERS INC,168 170 ORCHARD ST,NEW YORK,41.92215841,-73.9919658
159,819,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",J B MAX INC,86 E 4TH STREET,NEW YORK,43.08205775,-79.05759819
160,829,"TAVERN WINE SERVING WINE, BEER AND CIDER",GRANDLO CAFE INC,168 BROOME ST,NEW YORK,40.716809,-73.98561627
161,832,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",COFESTA LLC,33 W 26TH ST,NEW YORK,40.74449325,-73.99014721
162,835,"BAR/TAVERN AND KARAOKE BAR SERVING BEER, WINE, CIDER, AND LIQUOR.",G MISSION INC ,22 W 32ND ST 7TH FL,NEW YORK ,40.7475891,-73.986913
163,841,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,225 W 44TH STREET,NEW YORK,40.75814475,-73.98725639
164,849,CLUB SERVING BEER WINE AND LIQUOR CIDER,LINKS CLUB INC,36 E 62ND ST,NEW YORK,40.7651472,-73.9695659
